cid,text,time,author,channelId,videoId
UgxjFwIy7-OAGS2YTuN4AaABAg,"I just got back from Europe and over there they also never play the clean versions of songs, it must be an American thing!",1 year ago,@sophieboulet1106,UCoJY_FK7k9y5zuayTOIfcgw,26jAfFJkAbI
Ugy0QgBB2XtkfD-_lCl4AaABAg,Instant noodle taste even better in outdoors along the Han River when weather is cold.,1 year ago,@Xentradi97,UCKs2_3oRIomx9oT8HL85Duw,26jAfFJkAbI
UgzH8-ph0wCVg1PXx6l4AaABAg,"These are actually very smart thinking , especially the seats for pregnant women and the stores -eating sits where you can prepare your food",1 year ago,@andreeailie9053,UC9XTNr6IdQ5xj03Y-rCvdpw,26jAfFJkAbI
UgyPoNVm6vSsEupkGCh4AaABAg,Omg you were here!! Hope you had a nice trip😚😚,1 year ago,@Baby-um2br,UCEXiDXAFqt6Ebs3_EIw6Y3g,26jAfFJkAbI
UgyjUZt6f8q4NSe1-o14AaABAg,"The glass walls preventing people from falling onto the train tracks is rlly smart, they should have this everywhere for saftey",1 year ago,@Hi-ft6tf,UC3uShITkvp7CoUxOfn-Jqtw,26jAfFJkAbI
UgyuKHlLXscTQc0COs14AaABAg,"if there are no seats left (or it’s just an entitled old person) people do actually sit in the seats for pregnant women. even i’ve done it before—pregnant women have these little pink tags that the government gives them, so as long as you get up when you see a pregnant person coming it’s all good usually",1 year ago,@jayla1151,UCr73ZYh6jeUdOEnJjNn0rZQ,26jAfFJkAbI
UgwvqSZPC8CXL_DE37l4AaABAg,Sometimes Korean shows have me wheezing because they play the craziest songs while everybody is going about their business...😂😂,1 year ago,@whatislife940,UCYpUwthYjH_xvMDHhh7R0KA,26jAfFJkAbI
Ugwl2ea5CAsOhLawc4t4AaABAg,"Loved Korea, hope to return again.  Lovely people, great food, and lovely history and sites.",1 year ago,@Miriam-ug5pc,UCQs1CrUMI-eOZKY8LGq1tHQ,26jAfFJkAbI
UgxeNvOBqibFckfZz1t4AaABAg,The swear word thing happens in most non English speaking countries. Here in Argentina my school dance class did a choreography to fuck you by ceelo green lol,1 year ago,@euge7569,UCu-CxtKyOUVK1jMz9WvRA7w,26jAfFJkAbI
Ugw6R59BZ_4-XyDgSx94AaABAg,"Non pregnant people do actually sit on the designated seats. Especially old people. Some of them will also complain if they have to get up for a pregnant person - shocked the shit out of me the first time I saw it😅

Edit: The way my comment was meant to be a lighthearted jab towards attitudes. How so many of you have managed to blow this out of proportion in so many directions is astonishing. Some of you really shouldn’t be on the internet or at least think before you comment please. I can’t believe some of the shit I have read here.",1 year ago (edited),@ItsLycheee,UC_bHFL0jb0vrkS6V9xPs0gA,26jAfFJkAbI
