cid,text,time,author,channelId,videoId
UgwLVpX01acBDCfmIt94AaABAg,PART 2 — Korea Food Guide: 50 Budget Eats (w/ Prices):  https://www.youtube.com/watch?v=ZyLri4IGfhI,3 months ago,@AngelicaandAileenWanders,UCPPfk_xU1vhNvecfW1gXUNg,4GKwxnk0E4s
UgzBZQW5ZQndSTcRmKF4AaABAg,Your channel needs to blow up! This is how you do a travel vlog!,4 months ago,@kalurky,UC4sOY0Suwysj8gRPyHy656w,4GKwxnk0E4s
UgzHwNlCnh4VhFBWNFJ4AaABAg,"This is SERIOUSLY the most in-depth and detailed guide i have ever seen. Don’t even bother wasting your time with other content creators, complete waste of precious time. The effort spent to tackle every detail is chef’s kiss. Good job!!! 👏",3 months ago,@happyfeettravels,UCbot8bIF3QKpuz0gVYZks2w,4GKwxnk0E4s
UgyelXGg41unpKofafV4AaABAg,When I say travel vlog.  This is what I meant.,3 months ago,@nanetteobejo9632,UCwH2ccsqkyklOQj6i1TEDjg,4GKwxnk0E4s
Ugy1MWEXAjP_A25Xhc14AaABAg,"I recently launched a YouTube channel called AsiaScan, dedicated to showcasing sightseeing spots across Asia—from stunning beaches and majestic mountains to vibrant cities. I visited Korea 10 years ago, and I’d love the chance to go back and explore more. I truly admire your film—it beautifully unites viewers, bringing them together, even if they may never visit these places in person. Let’s bring people closer and create an eye-opening experience to reveal the wonders of Asia!",3 weeks ago,@AsiaScan,UCu7pT5jh6nnkQns46vR_3jw,4GKwxnk0E4s
Ugz8DTmiMfeH7LyKhhh4AaABAg,"The moment I informed my mom that our visa has been approved, she immediately sent me this video. Haha thank you for such a detailed vlog! ❤",3 weeks ago,@engellfranzguerrero5503,UCSdmeOflpY8788chLzfbM0g,4GKwxnk0E4s
UgwxgG0vqf8u__qRDZB4AaABAg,This is definitely the video i needed !! can you tell me on which website did you book your toor ? there are so many and i don't know which one is legit (:,13 days ago,@WWC_infos,UCM4_mv2uFU6RMxh5DPUx0JA,4GKwxnk0E4s
UgythtEP4pWPK4nftdF4AaABAg,i thought in the comments they were exaggerating but waw this is the best vidoe on youtube !!!! if your planning a visit,5 days ago,@DuwiiDg,UCAg0LZED6_I5GicBbtNYLLA,4GKwxnk0E4s
Ugyj0ev3UCNNPRywONN4AaABAg,This Is How You Make A Travel Video Period,2 weeks ago,@whereniastays,UC794ZSq_JJN86lnfiaGHRLg,4GKwxnk0E4s
UgxifAgO4E3k7Yu5Fh14AaABAg,This is great! I was just there in September and want to go back soon! In Seoul we stayed in the Lotte City Hotel in Myeongdong. It was kind of away from all the busy streets but central to everything. We were able to walk most attractions we wanted to go to. We took the bus from the airport and it was great bcuz they store your bags and the seats were so comfortable so you can sleep.We got money exchanged before we went there at our bank. It was good since you needed cash to fill up the Tmoney cars at the stations. I also fell in love with Busan and all their beaches. I think I would love to live there. We stayed at the Paradise Hotel which is pricey but so worth it. We were right at the beach.,2 months ago (edited),@Jb22722,UCMmquXR11j-eqwA1t5jNAAw,4GKwxnk0E4s
Ugwe3b1iLKAoaPkl0hJ4AaABAg,Can you recommend mga affordable hotels?,6 days ago,@josephinemagdalenebarredo5218,UCFcgEwyou-Y2uYBZGLSgRKA,4GKwxnk0E4s
UgxCWMvNM_3Q4OE2NZJ4AaABAg,This is the most detailed South Korea's travel guide i've ever seen! I really enjoyed it! Excellent job guys!🎉,2 months ago,@larushkamartinez4036,UCO7BerXVEeMm-xf3NrXJGjA,4GKwxnk0E4s
Ugyk4vWIEMVeOqbVTDV4AaABAg,I can't stop watching. This is the most complete travel video I've ever seen. Please let the algorithm choose Angelica & Aileen 🙏🙏🙏,2 months ago,@kurly-o6c,UC6iHNJtV_z0DFuHsjG71xcw,4GKwxnk0E4s
UgwHsMjoytstXaYHB6R4AaABAg,Thanks!,1 month ago,@Marwa.Mekki.90,UCblGf4CuNtcp7sZO13agzrg,4GKwxnk0E4s
UgwKUo3O0Ko59J64Dtp4AaABAg,"This is exactly what im looking for: a no-nonsense travel vlog! Well done, ladies! Subscribed!🩷🌸",3 months ago,@TheDarthBaker,UCtoYmIjbiy_GKXZ2XsJzPhw,4GKwxnk0E4s
Ugz2LihYlkFm7QUaTWB4AaABAg,"When we were planning Japan last year there was soooo much information and many videos that helped with our trip. We’ve been looking at Korea this year and there isn’t a lot of high quality videos….until now 🥳 thank you, this is exactly the video I wanted!",3 weeks ago,@milero91,UCrwXE_XluvJNInTyxch6mpg,4GKwxnk0E4s
UgzWqyAHFu90BaJQjT54AaABAg,"서울, 경복궁, 한복, 북촌 등 한국 단어 발음이 굉장히 좋네요! 멋진 영상이에요. Your pronunciation of Korean words is incredibly good! Thank you for your beautiful video. Much love from Korea!❤",1 month ago,@mashitta5969,UCFccHA9s5FeT1OUEZliEg-A,4GKwxnk0E4s
UgwTPxJlc7qz5RGvgEZ4AaABAg,My oh my. Fantastic! This is the best travel blog I have ever watched!,3 weeks ago,@RajivSingha-f6x,UC1hVXTKaSFpjGITjZ3MrTpA,4GKwxnk0E4s
UgzYqv4YEdT3DB-71pd4AaABAg,"This video was amazing, so much great info🤍",3 days ago,@guitaristshorts,UCOj5YQjwbP8HtzXrkuzH96w,4GKwxnk0E4s
UgwtprLRwawtalPzG3t4AaABAg,"What a comprehensive guide! This is the most informative and organised I've ever watched! Well done, Ladies! This is incredibly helpful for my trip in March this year. Thanks heaps for the effort you put in creating this video.❤ Love your work!😍",2 months ago,@angelinepangilinan8119,UChUibaZdQVFt3IoEEnXuCcQ,4GKwxnk0E4s
UgzBZQW5ZQndSTcRmKF4AaABAg.ABJoegHJdwNABJqtjnGjZn,Thank you so much! We appreciate the kind words 🥺❤  -- Angelica & Aileen,4 months ago,@AngelicaandAileenWanders,UCPPfk_xU1vhNvecfW1gXUNg,4GKwxnk0E4s
UgzBZQW5ZQndSTcRmKF4AaABAg.ABJoegHJdwNABLFqIB7iX1,I agree. Very comprehensive travel vlog. It's not even overwhelming but rather helpful 👏,4 months ago,@vosk6481,UCwA_gzRejzB6Kq5DNpykWdw,4GKwxnk0E4s
UgzHwNlCnh4VhFBWNFJ4AaABAg.ABzp6VFaNXpAC-WGlUhv7l,We put a lot of heart into this guide! 🥰 Happy you found it helpful! 💛 -- Angelica,3 months ago,@AngelicaandAileenWanders,UCPPfk_xU1vhNvecfW1gXUNg,4GKwxnk0E4s
UgyelXGg41unpKofafV4AaABAg.AC3_qUweO7kAC6YtBUQq9g,Aawww appreciate this 🙏 Glad you liked it! Thank you for watching! 💛 - Aileen,3 months ago,@AngelicaandAileenWanders,UCPPfk_xU1vhNvecfW1gXUNg,4GKwxnk0E4s
Ugy1MWEXAjP_A25Xhc14AaABAg.AFVWuOcA81qAFWa4alefDx,Sounds great! Best of luck 🙏 Thank you for watching! 💛 - Aileen,2 weeks ago,@AngelicaandAileenWanders,UCPPfk_xU1vhNvecfW1gXUNg,4GKwxnk0E4s
Ugz8DTmiMfeH7LyKhhh4AaABAg.AFEkIoKiDv9AFEwbEUGoyp,Aaawww I love it! 😍 I hope you have the best time especially your mom! Thank you for watching! 💛 - Aileen,3 weeks ago,@AngelicaandAileenWanders,UCPPfk_xU1vhNvecfW1gXUNg,4GKwxnk0E4s
UgwxgG0vqf8u__qRDZB4AaABAg.AFnph4sybM_AFqap4XZcvG,"Yayy happy you found it helpful! 😍 Here are some links to the tours and other links you might find helpful: 

👇🏻 The Best Affordable South Korea Tours & Activities 👇🏻

Korea Pocket Wifi — https://bit.ly/41bT74Y
Lotte World Ticket in Seoul — https://bit.ly/4eJdqd3 
Private Car Charter Rental — https://bit.ly/40iIa0p
N Seoul Tower Ticket — https://bit.ly/3CSFE7Q
Nami Island + Garden of Morning Calm + Rail Bike — https://bit.ly/3CHjkOC 
Everland — https://bit.ly/3ZlF6QP
Nanta Show — https://bit.ly/3V409VB
Hanbok Rental — https://bit.ly/4g5KvRJ
Korail Pass KTX Train Ticket — https://bit.ly/3CKslq6
Incheon Airport Transfers — https://bit.ly/3OmGQD4
Demilitarized Zone (DMZ) Tour — https://bit.ly/4g5B2cP
Discover Seoul Pass — https://bit.ly/3ZkAnil
Coex Aquarium Ticket — https://bit.ly/3V9uUZj
Seoul Sky Lotte World Tower — https://bit.ly/3ZoaPRe
Seoul City Bus Tour — https://bit.ly/3B9mjih
Visit Busan Pass — https://bit.ly/413Y7bD
Vivaldi Park + Eobi Valley Tour — https://bit.ly/497spMP

❗ Hotel Recommendations here ❗
https://bit.ly/4gLP9nH
https://bit.ly/4hLRW1y
https://bit.ly/3CYQrxO
https://bit.ly/4hLSeFG
https://bit.ly/3QwS0WN

Thank you for watching! 💛 - Aileen",12 days ago,@AngelicaandAileenWanders,UCPPfk_xU1vhNvecfW1gXUNg,4GKwxnk0E4s
UgwxgG0vqf8u__qRDZB4AaABAg.AFnph4sybM_AFqx5xQuDJr, @AngelicaandAileenWanders  thnx a lot for all of these informations 😇,12 days ago,@WWC_infos,UCM4_mv2uFU6RMxh5DPUx0JA,4GKwxnk0E4s
UgythtEP4pWPK4nftdF4AaABAg.AG7pZ9SYCfDAG863-7ybBX,Aaawww thank you! Appreciate this 🙏  Happy you liked it! Thank you for watching! 💛 - Aileen,5 days ago,@AngelicaandAileenWanders,UCPPfk_xU1vhNvecfW1gXUNg,4GKwxnk0E4s
Ugyj0ev3UCNNPRywONN4AaABAg.AF_3gsL4RbvAF_ULsPo-aL,Aaawww happy you enjoyed! 😍 Thank you for watching! 💛 - Aileen,2 weeks ago,@AngelicaandAileenWanders,UCPPfk_xU1vhNvecfW1gXUNg,4GKwxnk0E4s
UgxifAgO4E3k7Yu5Fh14AaABAg.AD4xsV3QufTAD6KpHvWue8,Love it! Thank you for sharing your experience! But same 🥹 can’t wait to go back soon! Thank you for watching! 💛 - Aileen,2 months ago,@AngelicaandAileenWanders,UCPPfk_xU1vhNvecfW1gXUNg,4GKwxnk0E4s
Ugwe3b1iLKAoaPkl0hJ4AaABAg.AG443evwizbAG80biTiaAo,"You can check these links 🙂 
Hotel Recommendations here:
https://bit.ly/4gLP9nH
https://bit.ly/4hLRW1y
https://bit.ly/3CYQrxO
https://bit.ly/4hLSeFG
https://bit.ly/3QwS0WN

More Discounted Korea Hotels Here: https://bit.ly/3MmPGQd

Enjoy Korea! Thank you for watching! 💛 - Aileen",5 days ago,@AngelicaandAileenWanders,UCPPfk_xU1vhNvecfW1gXUNg,4GKwxnk0E4s
UgxCWMvNM_3Q4OE2NZJ4AaABAg.ADrCt-cFm4qADurnR5Ry60,Yayyy so glad you enjoyed! 🤩 Thank you for watching! 💛 - Aileen,2 months ago,@AngelicaandAileenWanders,UCPPfk_xU1vhNvecfW1gXUNg,4GKwxnk0E4s
Ugyk4vWIEMVeOqbVTDV4AaABAg.ADTR9jM5cHgADX6E8qVf5c,Aaawww love this! Yes please algorithm 🙏 hahah thank you for watching! 💛 - Aileen,2 months ago,@AngelicaandAileenWanders,UCPPfk_xU1vhNvecfW1gXUNg,4GKwxnk0E4s
UgwHsMjoytstXaYHB6R4AaABAg.AEo1O4WGKXXAEqNKflY6W-,Aaww thank you! 🙏 Enjoy Korea! Thank you for watching! 💛 - Aileen,1 month ago,@AngelicaandAileenWanders,UCPPfk_xU1vhNvecfW1gXUNg,4GKwxnk0E4s
UgwKUo3O0Ko59J64Dtp4AaABAg.ABobjG30wbRAC-WWNhfoPM,Thanks for subscribing! We'll make sure to bring you more helpful travel vlogs! 💖 -- Angelica,3 months ago,@AngelicaandAileenWanders,UCPPfk_xU1vhNvecfW1gXUNg,4GKwxnk0E4s
Ugz2LihYlkFm7QUaTWB4AaABAg.AFQQ0zUf9-SAFU32hdl2fH,Aawww happy to know this 🥰 Happy our vlog is helpful! Enjoy Korea! Thank you for watching! 💛 - Aileen,3 weeks ago,@AngelicaandAileenWanders,UCPPfk_xU1vhNvecfW1gXUNg,4GKwxnk0E4s
UgzWqyAHFu90BaJQjT54AaABAg.AExMPjKA6m9AF-xgfXLxuU,Thank you for watching! I’m so glad you liked the video! 🥰💛 - Angelica,1 month ago,@AngelicaandAileenWanders,UCPPfk_xU1vhNvecfW1gXUNg,4GKwxnk0E4s
UgwTPxJlc7qz5RGvgEZ4AaABAg.AFVCjgD9dHFAFW_yG7Hk0e,Yaayy happy you enjoyed it! 🥰 Thank you for watching! 💛 - Aileen,2 weeks ago,@AngelicaandAileenWanders,UCPPfk_xU1vhNvecfW1gXUNg,4GKwxnk0E4s
UgzYqv4YEdT3DB-71pd4AaABAg.AGE9CENPoceAGKiC47-Xoj,Happy you found it helpful! 🥰 Thank you for watching! 💛 - Aileen,12 hours ago,@AngelicaandAileenWanders,UCPPfk_xU1vhNvecfW1gXUNg,4GKwxnk0E4s
UgwtprLRwawtalPzG3t4AaABAg.ACzIqN8i5VtACzWGRyVtSF,Yay! So happy it helped! Enjoy Korea! Thank you for watching! 💛 - Aileen,2 months ago,@AngelicaandAileenWanders,UCPPfk_xU1vhNvecfW1gXUNg,4GKwxnk0E4s
UgweGeSPXOd4o-7CThl4AaABAg,"Bar none, the best guide for first-time visitors of Korea! 🎉👍💕 thank you❤",2 months ago,@ivycarlastories,UCADpGAaY7q3OG9koYgZOJyg,4GKwxnk0E4s
Ugw15_bDmk6iQahTM0F4AaABAg,"This vlog is incredibly helpful, with detailed reviews and recommendations on places, activities, budgets, and food and definitely a must-watch for every international travele😍🫶👌🏻",3 weeks ago,@WndrYch,UCntO18x7W2hbPn79HCro6Fg,4GKwxnk0E4s
Ugz4YN1wc37r65xcacV4AaABAg,"Definitely the best guide for me, thank you !😊",5 days ago,@SuperSerwah,UCnrUvgTXYAhdGOJRqKXeZ8Q,4GKwxnk0E4s
UgxaHW_7ZJ0Ofa-HGvF4AaABAg,Fantastic guiiiiide! Thank you for making this video 🫶,1 month ago,@RhettandClaire,UCCg-8XaLD8SGrXGwv7TWphQ,4GKwxnk0E4s
Ugy3MO39evBbw-gromN4AaABAg,This is how a travel vlog is made! You guys raise the bar so high,2 months ago,@doctorshares,UC4o8SqA8Pd8lFH1Oo4G0DGQ,4GKwxnk0E4s
UgzaRud2Cu5JJd9toR54AaABAg,The itenerary i've been waiting for... and yiee save the last minutes for the best...  TWICE 😍,4 months ago,@tyronnoeldeleon3692,UCt0TjHUlP4umW8qzh_sZ4FA,4GKwxnk0E4s
UgzooQCsV0pRyxX9ZQ94AaABAg,The best guide EVER!!,2 weeks ago,@sarahalharbi4199,UCPukl9i_JILKoOpj3aIqU5Q,4GKwxnk0E4s
UgyosROpWukw4X8zlsZ4AaABAg,So well done! I have been to Seoul once and want to go back. Watching your video makes me wish I was planning all the details today.,3 weeks ago,@elizabethcarter1175,UC9ILuS5AW12TWZNN9_qSOvA,4GKwxnk0E4s
Ugy90pcw0KM_BEjhEbB4AaABAg,"The most useful travel guide i've ever watch.... really appreciate the effort on how you create the entire video  hehe, kasi hindi biro ang makabuo ng isang buong video, yong behind the scenes at kung pano ito mo ito pinag effortan tlga! at naging isang super useful video, Saludo ako.. Thanks for sharing . Big Help, New Subs here ☺☺",3 months ago,@msxkitten,UCXLi8NC3KbJ7-66GSfXIr2A,4GKwxnk0E4s
UgzJ0_HAe-KIOjzrirB4AaABAg,"just in time, me and my wife are planning to take a family trip with our kids to Seoul in June
we currently do research and budgeting...and your video pop up..and helps us alot.

bless you",3 months ago,@SamuelSutanto,UCbaEcHvCJRFydNF-lZ3Vivw,4GKwxnk0E4s
UgwQBh_fLLQaCwbUzZd4AaABAg,This is by far the best video guide I have seen in years! Amazing job! Thank you ❤,1 month ago,@Manyasha83,UCOc7RzzsFyx5UUU8cbK24YA,4GKwxnk0E4s
Ugzc9VzVjWiO1N-ayxJ4AaABAg,I’m going to South Korea on Monday and I am so using this! Thank you!!!,4 months ago,@henryanonuevojr.5583,UCMnCfI7QKUNeyaS7oagr4JA,4GKwxnk0E4s
UgxgYuVeftyKoo6o10d4AaABAg,This vid was very helpful. Me and my fam are coming from Las Vegas and it’s our first time. Thank you for this guide.,2 days ago,@blk3honzey,UCxX0VHrdDGMqysx2tIdFOPA,4GKwxnk0E4s
UgxEBRiZ1oiaTtOndRp4AaABAg,Amazing detailed video!! Great job girls!!,2 months ago,@afamilystravel6955,UC0puvJ68oN8fnHfZ6MfwZYA,4GKwxnk0E4s
