cid,text,time,author,channelId,videoId
Ugzom7srt5kJY5csogF4AaABAg,Hardest slow coffee sessions ever.,8 days ago,@yuqazette,UCPOB4VKUaG1C5zQSWOkQVVg,JOksXpBtOUc
Ugzxl91khntQUg_PWUt4AaABAg,THE MIXER SHOULD NOT BE MINIMIZED.,4 hours ago,@zionkid420,UC79kIf3WGX4psm_8u46LS5Q,JOksXpBtOUc
Ugy3BjsO1pjCoxDBYNJ4AaABAg,anyone know if she has more vids? Her list was fire and I need more of it,12 days ago,@doesscottyknow,UCjD9QceZqIYelNii2L_pJBw,JOksXpBtOUc
UgyTR-vy7srkEJ35OHB4AaABAg,Sitting in a a 7am class .. thanks for waking me up,1 day ago,@Dr.AnuragNayak,UCG25xk9-bxR0P36S94D_nJw,JOksXpBtOUc
UgwgMRh5POpAim2yIFJ4AaABAg,isn't this too good !!!!,13 hours ago (edited),@namanjoshi2528,UCDV8b_Swox-FzOtlFB4kzyQ,JOksXpBtOUc
Ugy_DQVq33Jn6pp9_ZZ4AaABAg,scratching?? 🤔🤣🤣🤣,1 day ago,@beatsceos,UCpVPg7a0fwkULWsecbAhX4Q,JOksXpBtOUc
UgyAgJxlJtnO8Wr8CvJ4AaABAg,She snapped!,3 hours ago,@kingdomcitizenship5613,UCqqYce4PvduH0Axtmk_wXZA,JOksXpBtOUc
UgwVeFKlto7cwyhfv0F4AaABAg,Very good vines and thé mixe🫶,6 days ago,@samzap8801,UCovsgnmjFgZGOueaNJWPPlA,JOksXpBtOUc
UgwMWI1a1SAnQ4W1UtJ4AaABAg,It brings just the right tempo for the calm you need on the bus to start my ‘Work’ day. 🫠✨,5 days ago,@hunize,UCxmER87ASeoGocHaeHEZgUQ,JOksXpBtOUc
Ugw77oZbFZV3MGPRFKp4AaABAg,She is awesome.,8 days ago,@agostinhojosealexandre5594,UCOKu11g40aVTmSdXvnFl8HQ,JOksXpBtOUc
