cid,text,time,author,channelId,videoId
Ugz3M9rWvklImAQfe5h4AaABAg,"⭕️You can turn on subtitles (CC), and there are 14 languages available :)
📸 Follow me on other platforms for more daily life updates:
Instagram:  @sunnyvlog26 |  https://www.instagram.com/sunnyvlog26/
TikTok: https://www.tiktok.com/@sunnyvlog260",9 months ago (edited),@sunnyvlog26,UCBrT_NBOM8yEEeKXQ-Fse1Q,KObyc70Y7bI
UgxpJ1vf5m-1Q1rQbc94AaABAg,Huge respect for supporting Palestine. Many won't open up in fear of losing subscribers. You opened up❤,9 months ago,@Rubareads,UCiglH-5N002a2sCGiWxXe1w,KObyc70Y7bI
Ugxu6gZ0OcjRsAFKiJp4AaABAg,Palestine is free and will remain free 🇵🇸🇩🇿💗💫,8 months ago,@yasmineYasmine-ir7od,UCcQVNlhmnHW9vT30YlZ2g6Q,KObyc70Y7bI
UgwNoO6Fh55ouFvLJfl4AaABAg,You are really nice. I love your videos. They are calm and bring reassurance. Thank you  freee Palestine 🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸,9 months ago,@le_y669,UCay01eqQEM_1C5AmlY-3V9Q,KObyc70Y7bI
UgzKA-tGFBqNp3UqTi54AaABAg,"Thank you so much for supporting Palestine ❤️‍🩹🇵🇸Sunny unnie LETS STRONGLY SAY ""FREE PALESTINE"" 🇵🇸✨",9 months ago,@sanaraheemahindasgeri6644,UCwwBIUg9mxzawRUGNkv7Vgw,KObyc70Y7bI
Ugx5pvqzKpbLt7tQJfN4AaABAg,"I'm almost crying. Finally someone can speak without fear about Palestine. Keep going, hero. Can you talk about the company you work for? Keep it up, I love you and thank you for the translation into Arabic💭🫀☘🌷",9 months ago,@esra_kim,UC3Sp4ZrjEwUncKAg4ThaHZA,KObyc70Y7bI
Ugx3riAh_OnqYwgcLKR4AaABAg,"Just finished reading Magic Alchemy of a Flawless Goddess, and OMG, it's a total game-changer! It dives deep into skincare, makeup techniques, and beauty secrets that no one is talking about. Plus, the rituals in here? Absolute goddess vibes. Trust me, if you're into beauty, you need this in your life",5 months ago,@Ziggle-ky9kv,UCiA7NFckbLt3jnU6laVZLHw,KObyc70Y7bI
Ugzs8eW_H0dWGRWPnG54AaABAg,You’re Amazing Sunny 🌹🫶🏻🇵🇸,9 months ago,@afiyamughal2003,UCv8ec3E6h84Wzu7AirXajLA,KObyc70Y7bI
Ugy9kGppK6sE6cEjV6x4AaABAg,"I'm from Gaza Palestine 🇵🇸 , thanks so much for supporting us 🥺🤍 , i really appreciate that 🙏 💕 ‏",9 months ago,@suzanrock526,UCZl6lg8J2o8OXFCtIQQ6ToA,KObyc70Y7bI
Ugzp7lAAKbD7Ul1Cktp4AaABAg,My respect for her when she supported palestine: 📈📈,9 months ago,@usha2232,UC6V8-H3pGXDcHlFhRjzdjhQ,KObyc70Y7bI
