cid,text,time,author,channelId,videoId
UgybDxQLDGspMQxJl-l4AaABAg,Get an exclusive 15% discount on Saily data plans! Use code saranghoe at checkout. Download Saily app or go to https://saily.com/saranghoe 🩷,3 months ago,@tracysohn,UC_PH4L_uvMdYElAtU7a7HjA,LX7VtxMCAVM
UgzC8652j7tfrFlYKkZ4AaABAg,"I'm favoured, Getting my own Truck has always been my Dream for my business. I just acquired 2 recently, earning $32K weekly has been really helpful. I can now give back to the locals in my community and also support Charity Organizations.",3 months ago,@Baylen-s2p,UC7_U-ZFnxlLzeHfILu4ycsA,LX7VtxMCAVM
UgzNhkGnbr_E1LIzOhZ4AaABAg,Korea vlogs in the winter are one of my faves! such cosy winter vibes  ⋆⁺₊❅.,3 months ago,@colettemxr,UChOZJ2pyRaFfi7sIdpW48eA,LX7VtxMCAVM
UgwtKJw3i6osKYEawRN4AaABAg,"Tracy, Julia, Annika and Yoora all in one video!!!!✨💕",3 months ago,@-cloxd-,UCPR4NWdmCj5NMmC7ACPVJoA,LX7VtxMCAVM
UgyPqYx38JFLcwYpdyh4AaABAg,"Before stepping into the new year make sure to read 'The Art of Self-Love' by Sabrina Windale, truly life-changing",3 months ago,@sportlams,UC9qgbWDhCIriCVp17yKrLcg,LX7VtxMCAVM
UgwW1z-CRAESJ6ZVf1d4AaABAg,“WE LOVE SARANGHOE” we all say in unison,3 months ago,@astr4l11s,UCgL3mNXzMYe02WBnpF-DKCA,LX7VtxMCAVM
UgxGN9Ck81JQ0nE3xft4AaABAg,She’s so pretty ❄️ winter queen! ( the video is so cozy 🌨️),3 months ago (edited),@so._.yu011,UCPJZ-aDimJv88PtFzTXzAew,LX7VtxMCAVM
UgzYqo5-JuaZu1SzBu14AaABAg,"Oh my god, I missed the Korea vlogs sm. Tracy you look so pretty!🤍
Also the headless sonny angel 😭",3 months ago (edited),@Asmalovesmiffy,UC0uR-4B3b4jvUX4dJPYWejg,LX7VtxMCAVM
Ugw5af2NWorrakR5z5t4AaABAg,So pretty !!,2 months ago,@alua342,UCAhugTwuayKzMxMHYQ6g2aw,LX7VtxMCAVM
UgxZGH0dV6Q9Q6FSRhF4AaABAg,"That hairstyle with bangs..suit you so well,you look sooooo pretty tracy",3 months ago (edited),@miffy1995-t4k,UCIlKs7-ezPGZwaa-2-UxvAg,LX7VtxMCAVM
UgwNojLQzLUaSKO67cR4AaABAg,our fave youtuber with our other fave youtubers ALL in one video? thank u we're blessed 😭💗,3 months ago,@mieannefilm_,UCNJVJyS5vRGO-06AHAVjzbw,LX7VtxMCAVM
UgxOQTkr0mdU_v1oKax4AaABAg,12:37 WHOAH ALL MY FAV YTUBERS IN ONE FRAME? WHAT IS THIS TRIO,3 months ago,@gbgbsbzzn,UCnKxKoDBL30mGbkdOz2lTSQ,LX7VtxMCAVM
UgxZJ5jPCluNR8YDlll4AaABAg,Her korea vlogs are literally my favs♡,3 months ago,@nshmraella,UCCxjmGWyFVCfRTPOSeClsng,LX7VtxMCAVM
UgywWBUKZmGu8_pbszp4AaABAg,Tracy’s winter vlogs just make so happy just nice and cozy ₊˚｡⋆❆⋆｡˚₊,3 months ago,@txoxot9159,UCy0XYPpajm2YF4O1jkmzXVg,LX7VtxMCAVM
UgxSu27xAXC45ei7Yrl4AaABAg,"Kennt ihr die bessere Alternative zu Copenhagen Studios, nämlich RICE Society! Die eignen sich super als Geschenkidee, finde die sind ein Must-Have für 2025!!",3 months ago,@HannahGroß-g9l,UCVphqglVCNcQWS7rQjiWoGw,LX7VtxMCAVM
Ugw3PCJD7vTMGIguzWN4AaABAg,You guys don’t know how much I love Tracy’s vlogs like literally I am not even joking Ron that girl saved my life😭🩷,3 months ago,@Kpopeditz_2024,UCvsrJRnTPqfUiqY__nLJ8dA,LX7VtxMCAVM
UgzupZlLeituybmq5TR4AaABAg,12:42 ITS ANNIKAS LEAF! OMGGGG i love her so much and I love saranghoe! I didnt knkw they were friends!,3 months ago,@Cloudybunnies200,UCx7I57hi33fWw1kNCD9uYUw,LX7VtxMCAVM
UgzdortLzvuuQQnFiTR4AaABAg,"Annika, Julia and Tracy gosh my fave vloggers 💖",3 months ago,@Ot12_L,UC6hbGl6hghH3AY4le9A-UAQ,LX7VtxMCAVM
Ugwx1y0Aj9Q9llJm4sN4AaABAg,The Korean glow on Tracy's face is so real!!,3 months ago,@_Gyuniverse,UChweNNeiXZBI9Rw2aYLhIfg,LX7VtxMCAVM
UgxTVNPn0m11BigctGt4AaABAg,"12:37 omg ever since I saw Julia's IG story about a cafe and you're tagged, I was so excited to see you all in a vlog again!! 🥰",3 months ago,@mieannefilm_,UCNJVJyS5vRGO-06AHAVjzbw,LX7VtxMCAVM
UgybDxQLDGspMQxJl-l4AaABAg.ACTQIdW28StACislq8jsNp,Saranghoe where do you get tour clothes from I love all your clothes and how aesthetic you are I wish I have met you,3 months ago,@Nurul_Huda123,UCKNAjV3BscAMUrdwQjE1deA,LX7VtxMCAVM
UgybDxQLDGspMQxJl-l4AaABAg.ACTQIdW28StADTkFQ4pg7-, @Nurul_Huda123  mostly lewkin,2 months ago,@mai1tsy,UCR_TV6R6D_8liX_XcarzKBg,LX7VtxMCAVM
UgzC8652j7tfrFlYKkZ4AaABAg.ACVtGgGYVQ8ACVtW2WbiTh,"wow this awesome I'm 47 and have been looking for ways to be successful, please how??",3 months ago,@Elanora-d5p,UCPMn1vinZV-LTsjkuRRk9qQ,LX7VtxMCAVM
UgzC8652j7tfrFlYKkZ4AaABAg.ACVtGgGYVQ8ACVt_FF_Sjs,"It is the digital market. That's been the secret to this wealth transfer. A lot of folks in the US and abroad are getting so much from it, God has been good to my household Thank you Jesus.",3 months ago,@Baylen-s2p,UC7_U-ZFnxlLzeHfILu4ycsA,LX7VtxMCAVM
