cid,text,time,author,channelId,videoId
UgxtXxIEywF5W1kw6BV4AaABAg,"꿍이들 :) 안녕하세요.
영상 마지막 부분 오류가 있어서 삭제 후 재 업로드 합니다.
영상 시청하고 계셨을 꿍이들께 너무 죄송합니다 ㅠㅠ
앞으로는 영상 오류가 있는지 재차 확인하고 업로드 할게요!
늦은 시간에 죄송해요
우리 꿍이들 편안한 밤 보내길 바랄게요ㅠㅠ❤

Hello, everyone :) The latter part of the video wasn't playing properly, so I had to delete and re-upload it. I'm so sorry to those of you who were watching the video. I'll make sure to double-check for any errors before uploading in the future! Sorry for the late hour. Wishing you a peaceful night

みなさん、こんにちは :) 動画の後半部分が再生されなかったため、削除して再アップロードしました。 動画をご覧になっていた皆さん、本当に申し訳ありません。 今後は動画に不具合がないか、再度確認してからアップロードします！ 遅い時間にごめんなさい。 どうぞ安らかな夜をお過ごしください ❤",7 months ago,@jhyun_u,UCyG7zAV_2JlPnxhwDxZN6sA,dMzBo6LT3bM
Ugwm81pvtSPvJkg_K-54AaABAg,남편분이 계속 극찬하시는데 마이웨이로 음식 드시면서 응..응... 하시는거 너무 웃겨요 ㅜㅋㅋㅋㅋ,7 months ago,@garchive._,UC6WVO56n-gLql6KoupvuiLQ,dMzBo6LT3bM
Ugx7U3UmxZ9ZnMWFBY54AaABAg,지현꿍님❤ 브이로그 넘 재밌어요ㅎㅎ 요리 너무 잘하시는것같아요ㅎㅎ,6 months ago,@yejinmgmd,UCf3ELeJ30MLC59SZYe9WQJA,dMzBo6LT3bM
Ugxe2-3IyswrJdW3FVp4AaABAg,언니 언제와요 ㅠㅠㅠㅠ 기다리는즁..😭,6 months ago,@mymyuandi,UCWxso4wLZbmXc3vwTJa8S0A,dMzBo6LT3bM
UgxqjfLqPQzF6DCDFM14AaABAg,오랜만이에요❤ 영상 너무 잘보고있어요🤍🤍,7 months ago,@kw5191,UCIQoW6HyNYKV2oYwg0KUfBA,dMzBo6LT3bM
Ugxo00MTJNkKRQG6DM14AaABAg,지현꿍님 브이로그가 힐링되네요 잘 볼게요,7 months ago,@박기범-b2s,UCHhNITuZXKFrcQlKmSiILzQ,dMzBo6LT3bM
Ugwc0gnHIYt5M23PCjZ4AaABAg,가지 드시는것 보구 찐어른이라고 박수쳤어요😮,7 months ago,@Alsgus-ql5ul,UCJBLmvBOb8cRWiij3-9EzSw,dMzBo6LT3bM
UgwxRFR7P8ghAzwXMk94AaABAg,후리카게 어디서 구매하신건가요? 제품명이따로 있을까요? ㅎㅎ 구매하고 싶어서요~,7 months ago,@방하영-v9o,UCfbm0sa3rGozv_6sQyBoLrA,dMzBo6LT3bM
Ugx6HyIvPKbqMx4Z-IB4AaABAg,언니.. 명절 맞이 갈비찜 최신 업데이트 버전!!ㅎㅎㅎ 보고시퍼용❤,6 months ago,@minong16,UCwWGtWChJmT_1nuN9N4r1sg,dMzBo6LT3bM
UgxRz7q2YM3_QsOax094AaABAg,저도 해물찜 도전..!,7 months ago,@epho-207,UCLTabigDLXjWcLbdFlQZsUg,dMzBo6LT3bM
