cid,text,time,author,channelId,videoId
UgwF-ef6zHThANZctmd4AaABAg,"""Now get out of my house"" got me rolling on the floor 😂😂😂😂",3 weeks ago,@JapanQuietGirl,UCkXocjXHzdGUte9quM2Mzhg,jWRWLBkQUQE
UgzM16k8ArwEd5bgskh4AaABAg,"That’s definitely not “mini”, that’s a dream apartment",2 weeks ago,@unidentifieduser101,UCZeZDOdjQgDCv8f-rjmufNQ,jWRWLBkQUQE
UgzJnX7gdpn_u_QO4yJ4AaABAg,"The fact she call this a ""mini apartament"" is crazy 😅❤",13 days ago,@Ana_onedoor,UC5agNlUQmUaVdhabRi8sI9g,jWRWLBkQUQE
Ugxe3EcNZAMWDLj0YbF4AaABAg,just dream house 🌀,2 weeks ago,@ddexiharuz-c9n,UCxyGGPa7M_NrM73kJZU7yCQ,jWRWLBkQUQE
UgyUebKjHZV7S8Pjpvx4AaABAg,For those who don’t know: the secret room has washing machine and laundry stuff I watched in her video…,2 weeks ago,@MyAesthetics02,UCqZgGCi0INuYmbgyhk_0nLQ,jWRWLBkQUQE
UgwRlsUPCYVAt0dbNnh4AaABAg,"""Now get out ma' house"" 😂 was epic",2 weeks ago,@St4r_dancer,UCg6hyswGUwVa-6eJiT1xzig,jWRWLBkQUQE
UgzFPg71uHjAmUNFqBZ4AaABAg,So cute and cozy ✨,3 weeks ago,@KabirMansuri-c9h,UCHHz0avrf2p7Swxt4eFHymA,jWRWLBkQUQE
UgzUNWCbd2GzwWFugfp4AaABAg,The way she was bouncing slightly up and and down before ahowing us the room and then acting out the things and what were used for is sooooo CUTE SHES ADORABLE ❤❤❤❤❤❤❤❤❤,2 weeks ago,@koo1327,UCqjnJU6SK3VLpgB3ORYAOBw,jWRWLBkQUQE
UgwpiWv8Ck32uVo01UZ4AaABAg,Where was the “mini” in this !?,2 weeks ago,@allegrataylor7197,UCcRpmzZBTyS1kfj1DxXp11A,jWRWLBkQUQE
UgzyK8az_HRu3cIgvDN4AaABAg,The rental fee and deposit must be crazy 😅,9 days ago,@DoctorAfree,UCWu8yy1pcOUGiFWuJYFwHfg,jWRWLBkQUQE
Ugy7FueMqb1dAx-o4vJ4AaABAg,"""Now get out of my house😊""
THE WAY I CACKLED-",3 weeks ago,@Heh_Heheh,UC9UorwksbedbHs85_269zMg,jWRWLBkQUQE
UgyVzVvdercULmSr4cx4AaABAg,This looks so professional ! omomomo <3,3 weeks ago,@AutumnBreak,UClcCzEiY2p3WDKadmechteg,jWRWLBkQUQE
UgxlUSgAd0OaR1WQq054AaABAg,The quiver on the toilet was too funnnyyy😂,3 weeks ago,@ilikenoodles_2,UCTIcmAMMDvwRCkQ_9yBLm1w,jWRWLBkQUQE
Ugy6ZbMgWwKg446Oxp14AaABAg,I LOVE THE APARTMENT AND YOUR FIT!SO CUTE!,2 weeks ago,@-nb5sk,UCHjQDRt4HABQoOGiF5SQrzg,jWRWLBkQUQE
UgyFpuc5VhCeVhzUGPd4AaABAg,Canlandirmasi cok iyi❤❤,8 days ago,@ismailyldrgan9702,UCuheHTSLvnW0oW-GSn5AezA,jWRWLBkQUQE
UgwGT7vFXBdnipxemFB4AaABAg,*You’re truly one of a kind; keep shining!*,3 weeks ago,@BrooklynJimenez-k9s,UC17ULTvBfrqlCiakYasow3A,jWRWLBkQUQE
Ugz46jJ6QW9E95Ip1th4AaABAg,Yehey!!! Finally a real bathroom..and spacious closet.. I hope the rent did not cost you an arm and a leg... Enjoy your sweet home...,3 weeks ago,@loufe163,UCYYNH8_1_6C78cc2yW8kW-A,jWRWLBkQUQE
UgzH2tFlzooP4TuEoD94AaABAg,"Pretty apartment 😍😍
I laughed at now get out my house lmaooo 😂😂",11 days ago (edited),@jilliannlove5871,UC1rJMDW5Yy0LAMvo9QoSPEg,jWRWLBkQUQE
Ugxl92NPr9QxJ6xz-794AaABAg,End got me rolling 😂😂,9 days ago,@Bluebxrry_xx,UCZ0WjYIO4NQPQ1J-GZW1s2Q,jWRWLBkQUQE
Ugw37G7O5wsH1CT9GaJ4AaABAg,"A very brief house tour, love that 😂😊",13 days ago,@theypavedtheway,UCGsnrmKfSBtOMJtQwsS1Lig,jWRWLBkQUQE
UgwF-ef6zHThANZctmd4AaABAg.AFO8I_YaFxaAF_HncI0J0-,Very nice humor,2 weeks ago,@xyjfkrl007,UCsP1XkG6S8vrQrvNU5TOI7A,jWRWLBkQUQE
UgwF-ef6zHThANZctmd4AaABAg.AFO8I_YaFxaAFvnruriiHh,Nobody cares,10 days ago,@RuiSoToxic,UCMIPdA1ZUxZi_5jnsFf9cGQ,jWRWLBkQUQE
UgwF-ef6zHThANZctmd4AaABAg.AFO8I_YaFxaAG0_Y429aW0,Yall laugh at everything,8 days ago,@EminemWhoIOnlyKnowKingTaeminem,UCviR3UYIr5Br_D716I8L0aQ,jWRWLBkQUQE
UgwF-ef6zHThANZctmd4AaABAg.AFO8I_YaFxaAGBNvweqGiW,Don't be mean too me :{ it hurts my feelings.,4 days ago,@JapanQuietGirl,UCkXocjXHzdGUte9quM2Mzhg,jWRWLBkQUQE
UgzJnX7gdpn_u_QO4yJ4AaABAg.AFo_-9yZY4rAFt3l9JAoR7,"My thoughts exactly. I was like ""I could raise 2 kids here and still have room for an office“ lol",11 days ago,@irinakl441,UC8skDtR1xvPmdY9RDZxwAFA,jWRWLBkQUQE
UgzJnX7gdpn_u_QO4yJ4AaABAg.AFo_-9yZY4rAFveNxleqJq,It’s because in Asia in general houses tend to be bigger.,10 days ago,@Rock-Flower,UCoEa_Pqi6JuTEKDOxiffhBA,jWRWLBkQUQE
UgzJnX7gdpn_u_QO4yJ4AaABAg.AFo_-9yZY4rAFxolVGRCfs,"It means a mini (apartment) tour, the tour is mini 😊",9 days ago,@johannaporz5036,UCrCl1aCul7GGQwGeVcFHLGw,jWRWLBkQUQE
UgzJnX7gdpn_u_QO4yJ4AaABAg.AFo_-9yZY4rAFyMh2ao3uz,"It's mini,Not big.",9 days ago,@Sakura_.ৎ,UCYIH40wnboEhSRIU01Y-Ntg,jWRWLBkQUQE
UgzJnX7gdpn_u_QO4yJ4AaABAg.AFo_-9yZY4rAFyuQcBF0yt,Its mini only,9 days ago,@anithamurali2578,UC6CbrYAGRGmcVhpR1rqf68A,jWRWLBkQUQE
UgzJnX7gdpn_u_QO4yJ4AaABAg.AFo_-9yZY4rAFzpNENnGcS,She meant the tour was mini since it was short,9 days ago (edited),@emelierivera4242,UCAnBPhTPse5wVS3ptoyb-tw,jWRWLBkQUQE
UgzJnX7gdpn_u_QO4yJ4AaABAg.AFo_-9yZY4rAG7fKQosEf_,Is actually mini,5 days ago,@its.nyah.48,UCsAwT1xJEmSc1LdmCXyAO8Q,jWRWLBkQUQE
