cid,text,time,author,channelId,videoId
UgwugBZV8XqhTcPYNh54AaABAg,"the ""wow you guys are really good at korean."", ""we are korean"" got me lolll",3 months ago,@Tttt-oc5vf,UC-6aHzM9cQL6Kth_-y3m_VQ,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg,the way both erica and evelyn were concerned for emily during that tanghulu. was so wholesome. love their sisterhood,3 months ago (edited),@hloml,UCK9V9pOcg4DuNIDpi3Hjxnw,pvnZkavIIzc
UgwzRzqKU-H0j-1Chud4AaABAg,"All the korean people they interacted were so nice to them like they were so genuinely curious about you guys, the way you guys let Emily have the first bite of everything reminds me of my elder sister she pays and i just eat 😂. Lots of love and support to you guys❤️",3 months ago,@anisha.sherpa,UCTxnsZybH9iYZAVv22N45Cw,pvnZkavIIzc
UgypT4Ad3AbVbr4aa_J4AaABAg,UNDER 30 SECS,3 months ago,@itscxco,UCk0tJLIoblc2xO5d31Ybp0w,pvnZkavIIzc
Ugzt-UiXj8hKgESUU3t4AaABAg,"i just broke up from 3,5years relationship n feeling really down lately, watching ha sisters making me happy❤ don’t stop posting, i love u guys💞",3 months ago,@faraafbrynt,UC1O9PfwKmNlwKt4vecHjCFQ,pvnZkavIIzc
UgzlDrRcWqEEEI6ZrFB4AaABAg,"Evelyn in her active era ,loving it so much",3 months ago,@Niharikashill9859,UCFTSYsNgeW8lKsUSc6yXDZw,pvnZkavIIzc
Ugw0l8_0jOu8fCp2bE14AaABAg,Not all street food is junk; some of it is actually pretty good for you. 🌯💪,3 months ago,@Isaplaysberryavenue,UCfm0uLOnD7DYBJqSL1Yop_w,pvnZkavIIzc
Ugyj1L7sLcP6ocNfbNB4AaABAg,"You're a talented creator, no joke!",3 months ago,@CarolTurner-e1o,UCNX06ZYjlHjqJlQPneAu5kQ,pvnZkavIIzc
UgykV3FrWKYnc3zzkwl4AaABAg,I love how the korea content is still coming ❤❤,3 months ago,@Rhshca,UCpmQC5U-AIch63h9IHvhCnw,pvnZkavIIzc
Ugx2t4hiDqOOiS-0aft4AaABAg,Yall are SPOILING us this year and i love ittt edit: I did NOT expect this comment to blow up guys 😭,3 months ago (edited),@kais_diaryy,UC-4ENF6AFyeu8LcG68Bxq2w,pvnZkavIIzc
Ugw6o8U7O2yd3V9sv-d4AaABAg,28:42 i love how Erica pointed out there’s halal food there too❤️ as a muslim i really loved her for pointing it out cuz throughout the vid i was like i wonder if there’s halal food too😅,3 months ago,@kageznxx,UCdUIw3xorb1rGAnWEk9goZg,pvnZkavIIzc
UgxJIIANHj6KyFErHgd4AaABAg,8:50 Yall missed a fan in the back she looked like she wanted to meet yall,3 months ago,@shalommabala1404,UC8z1vldnK1qFn_pd8duGMPg,pvnZkavIIzc
UgxC5DZ3PTDAJAc9kcZ4AaABAg,after Evelyn said my shoulder hurts while holding the camera that Erica was holding the camera in the next clip 🥹 1:10 idk y but that was so sweet like rlly subtle and even if they act like they hate each other they rlly care about each other,3 months ago (edited),@babyaviella,UC_ZR34mzwVz184r31ZWmSdA,pvnZkavIIzc
Ugy4599Cq4hbDp7N2kN4AaABAg,i love it when the 3 of them are tgt ahhhh their chaos is what makes their videos special <33,3 months ago,@xxandwaxx-y3z,UCdL7tY_Cueafd_H68IztZeA,pvnZkavIIzc
UgwudDGd5ArW7G32rRB4AaABAg,I LOVE TRAVEL VLOGSS AND EVELYNS IN HER ACTIVE ERAAAA:face-fuchsia-tongue-out:,3 months ago,@아바5,UCiN8n3oalIguMmx6ew__JNA,pvnZkavIIzc
Ugy_03_QgG8wzcYzT_V4AaABAg,5:57 Erica literally said:💪💪,3 months ago,@wargirie,UC2z7S9b1W2okde2K2uttChw,pvnZkavIIzc
Ugz0BmmwqLxRYRXWLKV4AaABAg,32:49 aww Evelyn face was so genuine and Erica rlly cared,3 months ago (edited),@missannaN,UCco7rQcY8ss48veiVXrTc0w,pvnZkavIIzc
UgzsXHQR9He7NEAtCat4AaABAg,Slayy she came back when we most needed it!!,3 months ago,@strawb3rry-83,UC54GrVi7db2LBbmVO-8qcPA,pvnZkavIIzc
UgzEG0aZrdGU-BGPD794AaABAg,Omg you're spoiling us ...over every bit of these Korean content videos .... You three together and the energy is so fun ...,3 months ago (edited),@zak865,UCc7OnRuBZQT17ur1IXT4fqA,pvnZkavIIzc
UgwkuOkXQmKZaMm2P7V4AaABAg,17:12 I CANT ERICAS FACE IS EVERYTHING 😂 HER BEING SCARED AT EMILYS THREATS 😂😂 DED,3 months ago,@ellaper3z963,UCmm39-bZiCg30qu_nuL32Ag,pvnZkavIIzc
UgwugBZV8XqhTcPYNh54AaABAg.ABc_mCBSa8OABdZcuyL4dF,"then she said they come from NYC and hes like ""see I told you,"" bro they're still korean?? LOL",3 months ago,@estefanysepulveda10,UCHrcBuc6lIw8cuXDoKhrNlQ,pvnZkavIIzc
UgwugBZV8XqhTcPYNh54AaABAg.ABc_mCBSa8OABdggUHGgxi,What timestamp,3 months ago,@Ivy_illit,UCRzkyJBilNU2jkv9g2tWgmg,pvnZkavIIzc
UgwugBZV8XqhTcPYNh54AaABAg.ABc_mCBSa8OABe2JNzsliu,23:10,3 months ago,@addiluvsyouu,UCtkd499YCg1qZfwuf9m9mdA,pvnZkavIIzc
UgwugBZV8XqhTcPYNh54AaABAg.ABc_mCBSa8OABh0avbhHwr," @estefanysepulveda10  This is because Korea is a country that allows dual citizenship until adulthood. First of all, apart from nationality, a similar concept to ethnicity has been around for over 1,000 years, so some people think of it as a relationship based solely on bloodline.",3 months ago,@songroid4847,UCv7MwlcGjqYcpfOgyJ1Q_Tw,pvnZkavIIzc
UgwugBZV8XqhTcPYNh54AaABAg.ABc_mCBSa8OABlDuJV8iOC, @addiluvsyouu  no its 24:06......,3 months ago,@stvrribera,UClK7ynnIbLm760p-yhlPBNA,pvnZkavIIzc
UgwugBZV8XqhTcPYNh54AaABAg.ABc_mCBSa8OABmUebCBUTz,1:02,3 months ago,@Iheartwonii,UCv-uR9OAReKjw-gwj9CpWRw,pvnZkavIIzc
UgwugBZV8XqhTcPYNh54AaABAg.ABc_mCBSa8OABoXTg_vJ5_," @estefanysepulveda10 To Koreans, the definition of “Korean” = of Korean descent (ethnicity) & born and raised in Korea (nationality). This is likely due to how homogenous Korea is. So to Koreans, They are indeed not Korean since they lived most their lives in America and are still living in America. They will be deemed as “American”.",3 months ago,@noice8723,UCMorXr1y-qtnrK5ZSJGub7w,pvnZkavIIzc
UgwugBZV8XqhTcPYNh54AaABAg.ABc_mCBSa8OABqFn6XCzqC,"Hi! God loves you! You can repent and believe that Jesus paid the price for our sins! Because He can give you so much love, joy and peace! God bless you You are worthy in His eyes!😊💗",3 months ago,@raelaes,UC2-8xgeK3W85erSXLWCDGHw,pvnZkavIIzc
UgwugBZV8XqhTcPYNh54AaABAg.ABc_mCBSa8OABqGIFVncmn,​ @estefanysepulveda10  notice how only americans think like this 😭,3 months ago,@luaxif,UCY5jNKeozEmHP4Z5fkZXfxw,pvnZkavIIzc
UgwugBZV8XqhTcPYNh54AaABAg.ABc_mCBSa8OABqGpYci7mY," @noice8723  ohh okay this makes sense! thanks for the explanation. I think because he said ""you dont seem korean"" i ithought by the way they look but I was like they do look korean lol now it makes sense",3 months ago (edited),@estefanysepulveda10,UCHrcBuc6lIw8cuXDoKhrNlQ,pvnZkavIIzc
UgwugBZV8XqhTcPYNh54AaABAg.ABc_mCBSa8OABsZSljfTy7," @raelaes  thanks for that nice comment!! I love Jesus and i know he can change my life😍, its actually so nice what you are saying💗💗hope you have a great day",3 months ago,@Tttt-oc5vf,UC-6aHzM9cQL6Kth_-y3m_VQ,pvnZkavIIzc
UgwugBZV8XqhTcPYNh54AaABAg.ABc_mCBSa8OAE36M3I8YO6, @stvrribera theres two times,1 month ago,@HelloimfinethankyouandRyu,UCWpB0_b8965Ap7G70CZqWkQ,pvnZkavIIzc
UgwugBZV8XqhTcPYNh54AaABAg.ABc_mCBSa8OAE36daH4Ihe, @HelloimfinethankyouandRyu  no there isn’t it’s only one timestamp,1 month ago,@stvrribera,UClK7ynnIbLm760p-yhlPBNA,pvnZkavIIzc
UgwugBZV8XqhTcPYNh54AaABAg.ABc_mCBSa8OAFWWxpfCZLx, @stvrribera if you click on both time stamps it shows two different people saying the same thing to them so both the time stamps are correct,2 weeks ago,@Emilyy.Roblox,UCkCGMVkbWtSNIba3eSDUjTw,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABcqf94UFz5,"As if any normal sibling wouldn’t do that, that was the bare minimum??",3 months ago,@hiliate,UCAwkKYSw3OWyHbheYVbj2tg,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABcsR4hom1w,"@ainehiliate  lmao ik but they always tease each other and like always show it that way. and considering youtube videos doing together is what brought them closer, it's wholesome in that way.",3 months ago (edited),@hloml,UCK9V9pOcg4DuNIDpi3Hjxnw,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABdEaXKL3eA,@ainehiliate who hurt u 😂,3 months ago,@VEE_..,UCR-NzdJGMS_kJUPVjwTnXgw,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABdGkekGu6B,girl thats basic human decency,3 months ago,@elise6802,UCAUl_Cbqam8Apycq3JWbHNw,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABdSjLjdo4H,"its the bare minimum, if my siblings get hurt i immediately stop laughing and get concerned.",3 months ago,@grachye,UCgXkoUjXuQhddGgXeX9Qz7Q,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABdbVfoNa5a,whens the time stamp,3 months ago,@betulbutun-rg4lu,UC5g-SfsA2gLoaPNDWr-8tdg,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABdl5wV23n0,I mean a anyone would rlly react the same bro?,3 months ago,@Yomam1,UC9k3mDx9_8p09Rii9UPActQ,pvnZkavIIzc
