cid,text,time,author,channelId,videoId
UgyGTD1f_6mJCVyN3UZ4AaABAg,For a second i actually thoughr you borh had clorhes off😂😂😂😂😂😂😂😂😅,7 months ago,@Leanne-c4r,UC_NLLZ_YYZOJ0sGe6XfacAg,zJ48vnQFz3I
Ugwag8DP6KVkqnKLmuZ4AaABAg,I was thinking that was Adam and Eve have no clothes 😂😂😂😂😂😂😂😂😂😂😂,4 months ago,@carolnthenya6275,UCJ5xuIjvtVVKJ-8pcwf0hsw,zJ48vnQFz3I
UgwxbvHULhj1mhpplR14AaABAg,😅😂🤣his facial expression and gestic is priceless😅😂🤣much love to you both ❤❤,7 months ago,@angelikasteeb5757,UC7JDE-u8nApD-Q9bAMTvlEA,zJ48vnQFz3I
Ugwym2ycekFrEXo40xt4AaABAg,you  got ray on  his facial expression isabella...,7 months ago,@mayrasalvador9991,UCjf9SZjCAWKWEX6gbO3EbAg,zJ48vnQFz3I
UgzYU8MiyLBm-34gwvV4AaABAg,You guys are so funny and the bedt❤❤❤❤❤,7 months ago,@julietamadeleine7326,UCVVSl3cw8ZMnKLS4qJGPYOQ,zJ48vnQFz3I
Ugx-00IksclXw89Vydh4AaABAg,No way I got foold again I thought y'all didn't have clothes on 😂🤭,7 months ago,@franciscodematos35,UC4G7JficlpMpQ7qXp0vumVw,zJ48vnQFz3I
UgyYWgdSSd1qofiRXpx4AaABAg,😊❤😂😅😂😅good one isabellaafro  love it,7 months ago,@1328ch,UCVcd8VOTbjn0fuPUv6K1feg,zJ48vnQFz3I
Ugx_V0BPT_5BFEvyWY14AaABAg,Y’all play too much😂,7 months ago,@jasminecole6431,UCD0myFwZeRVHrSZWV_oV_wA,zJ48vnQFz3I
Ugyvu3Q5MZ1M8AVORct4AaABAg,The man had shorts guyssssss❤,4 months ago,@perfectoramirez4845,UChBj3YPRGpbmMR9bLrlr4uA,zJ48vnQFz3I
UgyAI3RoeLFuOwwn7SF4AaABAg,Soooo much fun😂😂😂,7 months ago,@motivationalmom3nts,UCEAP6vHBtKzL6vNf3QxQOOA,zJ48vnQFz3I
Ugzqmnmiucf7X4y34Zd4AaABAg,That's right girlfriend it's all about confidence elegance and you got it all and you do it all you're such an inspiration 💖,6 months ago,@mevludijeuseinoski3526,UC3xhRlTmGgCzxsbtbHwJ8qw,zJ48vnQFz3I
Ugwyo8BnHvrt7V91hI94AaABAg,"Q fofos!! E obvio q tem quimica❤❤
O relacionamento deles é mt perfeito juro
C eles não derem certo eu não tenho solução",3 months ago,@Sandrinaur,UCcE27oXavmEmBtUweFykrOQ,zJ48vnQFz3I
UgzADd8r1iZurny6-MZ4AaABAg,Literal pensé que era Adán y Eva ❤❤❤❤❤❤❤❤❤❤❤ hermosa pareja ❤❤❤❤,3 months ago,@Alison-qs7ee,UCs1eTuy8Szes9CZk0l5ALNg,zJ48vnQFz3I
Ugzcj_nv4vvdY7TelE94AaABAg,"You guys are adorable ✨🤍
Ok, I can't get this song out of my head 😅",7 months ago,@Xx_Taé_xX,UCPJrwwzYDkG0TxqmpbBHgUw,zJ48vnQFz3I
UgxOhJVLMeMtquG3v6R4AaABAg,"She's absolutely beautiful, her heart makes her beauty stand out even more💖💖💖🥰🥰🥰",6 months ago,@Sheertryonhaul-p7i,UCFpWyL7WbKCrmzgNuRs_xQA,zJ48vnQFz3I
UgzMNvnX_hjo7A5ozmt4AaABAg,The girl and boy😂😂😂😂,2 months ago,@SjysbhSjysbhgsbysybgbwg,UCXMEMIXsmIaqVcJUqn0eRNQ,zJ48vnQFz3I
